y,x
97,524
98,523
98,524
99,522
99,523
100,521
100,522
101,519
101,520
102,518
102,519
103,516
103,517
104,514
104,515
104,516
105,513
105,514
106,512
106,513
107,510
107,511
107,512
108,509
108,510
109,507
109,508
109,509
110,506
110,507
111,505
111,506
112,504
112,505
113,502
113,503
113,504
114,501
114,502
115,500
116,498
116,499
117,497
118,495
118,496
119,493
119,494
119,495
120,491
120,492
120,493
121,490
121,491
122,488
122,489
122,490
123,487
123,488
124,485
124,486
124,487
125,484
125,485
126,483
126,484
127,481
127,482
128,479
128,480
128,481
129,478
129,479
130,476
130,477
131,475
131,476
132,474
132,475
133,473
133,474
134,472
134,473
135,471
135,472
136,469
136,470
137,466
137,467
137,468
137,469
138,465
138,466
139,464
139,465
140,463
140,464
141,461
141,462
141,463
142,459
142,460
142,461
143,458
143,459
144,456
144,457
144,458
145,455
145,456
146,453
146,454
146,455
147,451
147,452
147,453
148,450
148,451
149,449
149,450
150,448
150,449
151,446
151,447
151,448
152,444
152,445
152,446
153,442
153,443
153,444
154,441
154,442
155,439
155,440
155,441
156,438
156,439
157,437
157,438
158,436
158,437
159,434
159,435
159,436
160,432
160,433
160,434
161,430
161,431
161,432
162,429
162,430
163,428
163,429
164,426
164,427
164,428
165,425
165,426
166,423
166,424
166,425
167,422
167,423
168,421
168,422
169,419
169,420
169,421
170,418
170,419
171,416
171,417
172,415
172,416
173,413
173,414
173,415
174,412
174,413
175,411
175,412
176,409
176,410
176,411
177,407
177,408
177,409
178,406
178,407
179,405
179,406
180,403
180,404
180,405
181,401
181,402
181,403
182,400
182,401
183,398
183,399
184,397
184,398
185,395
185,396
185,397
186,394
186,395
187,393
187,394
188,391
188,392
188,393
189,390
189,391
190,389
190,390
191,387
191,388
191,389
192,386
192,387
193,384
193,385
193,386
194,382
194,383
194,384
195,381
195,382
196,379
196,380
196,381
197,378
197,379
198,377
198,378
199,375
199,376
199,377
200,374
200,375
201,373
201,374
202,371
202,372
202,373
203,370
203,371
204,368
204,369
204,370
205,367
205,368
206,365
206,366
206,367
207,364
207,365
208,362
208,363
209,360
209,361
209,362
210,359
210,360
211,357
211,358
211,359
212,356
212,357
213,355
213,356
214,354
214,355
215,352
215,353
215,354
216,350
216,351
216,352
217,349
217,350
218,347
218,348
218,349
219,346
219,347
220,344
220,345
220,346
221,343
221,344
222,341
222,342
222,343
223,340
223,341
224,338
224,339
224,340
225,337
225,338
226,335
226,336
226,337
227,334
227,335
228,333
228,334
229,331
229,332
230,330
230,331
231,328
231,329
231,330
232,327
232,328
233,325
233,326
233,327
234,324
234,325
235,323
235,324
236,321
236,322
236,323
237,320
237,321
238,318
238,319
238,320
239,317
239,318
240,315
240,316
240,317
241,314
241,315
242,313
242,314
243,311
243,312
243,313
244,309
244,310
244,311
245,308
245,309
246,306
246,307
246,308
247,305
247,306
248,303
248,304
248,305
249,302
249,303
250,301
250,302
251,300
251,301
252,298
252,299
253,297
253,298
254,295
254,296
254,297
255,294
255,295
256,292
256,293
257,291
257,292
258,290
258,291
259,288
259,289
259,290
260,287
260,288
261,285
261,286
261,287
262,284
262,285
263,282
263,283
263,284
264,280
264,281
264,282
265,279
265,280
266,277
266,278
266,279
267,276
267,277
268,275
268,276
269,274
269,275
270,272
270,273
270,274
271,270
271,271
271,272
272,269
272,270
273,267
273,268
273,269
274,266
274,267
275,265
275,266
276,263
276,264
276,265
277,262
277,263
278,260
278,261
278,262
279,259
279,260
280,257
280,258
280,259
281,256
281,257
282,254
282,255
282,256
283,253
283,254
284,252
284,253
285,250
285,251
285,252
286,249
286,250
